"field_name","category","level","actual_data_type","expected_data_type","required","source_generator","generation_method","allowed_values","default_value","normalized","used_in_embedding","used_in_filter","used_in_boost","used_in_reranker","used_in_citation","used_in_access_control","usage_locations","importance","risk_if_missing","risk_if_incorrect","notes","path_aliases","regex","min_value","max_value","max_length","max_items","consistency_scope","unique_scope","reference_target","conflict_group","conflict_sensitive","annotation_candidate","ordinal_values","conflict_roles","mutable_over_time"
"pre_embedding_quality.action","derived","chunk","json text","string","false","quality detector","rule-based decision","reuse_exact_embedding|exact_match_observed|exact_match_embedding_model_changed|exact_match_embedding_context_changed|exact_match_embedding_unavailable|reuse_batch_exact_embedding|batch_exact_match_observed|batch_exact_embedding_context_changed|near_duplicate|version_candidate|conflict_candidate","","true","false","false","false","true","false","false","embedding reuse audit","high","reuse behavior unknown","wrong vector reuse","Closed enum read directly from ChunkPreEmbeddingDeduplicator branches","metadata.pre_embedding_quality.action","","","","64","","","","","false","true","true","","","recomputed_on_reingestion"
"pre_embedding_quality.relation_type","version","chunk","json text nullable","string","false","quality detector","verified relation candidate","exact_content|near_duplicate|version_candidate|conflict_candidate","","true","false","false","false","true","false","false","quality/conflict workflow","high","relation candidates hidden","candidate mistaken for confirmed truth","Candidate only until authoritative action/human validation","metadata.pre_embedding_quality.relation_type","","","","64","","","","","false","true","true","","","recomputed_on_reingestion"
"pre_embedding_quality.confidence","version","chunk","json number","number","false","quality detector","rule score","","","true","false","false","false","true","false","false","quality prioritization","medium","cannot rank review","miscalibrated auto action","","metadata.pre_embedding_quality.confidence","","0","1","","","","","","false","true","true","","","recomputed_on_reingestion"
"pre_embedding_quality.embedding_reused","derived","chunk","json boolean","boolean","false","quality detector","reuse decision","true|false","false","true","false","false","false","true","false","false","cost and correctness audit","high","reuse rate unknown","stale/wrong vector unnoticed","","metadata.pre_embedding_quality.embedding_reused","","","","","","","","","false","true","true","","","recomputed_on_reingestion"
"pre_embedding_quality.match_source","derived","chunk","json text nullable","string","false","quality detector","candidate origin","database|current_batch","","true","false","false","false","false","false","false","reuse provenance","medium","source unknown","wrong source attribution","","metadata.pre_embedding_quality.match_source","","","","32","","","","","false","false","true","","","recomputed_on_reingestion"
"pre_embedding_quality.target_document_id","derived","chunk","json text nullable","uuid","false","quality detector","matched persisted target","","","true","false","false","false","true","false","false","relation/reuse evidence","high","match not traceable","wrong target drives reuse","Must remain in same owner/notebook scope","metadata.pre_embedding_quality.target_document_id","","","","","","","","document_id","false","true","true","","","recomputed_on_reingestion"
"pre_embedding_quality.target_chunk_id","derived","chunk","json text nullable","uuid|string","false","quality detector","matched target chunk","","","true","false","false","false","true","false","false","relation/reuse evidence","high","match not traceable","wrong target drives reuse","Database matches use persisted chunk UUID; current-batch matches use source_chunk_id","metadata.pre_embedding_quality.target_chunk_id","","","","500","","","","chunk_id_or_source_chunk_id","false","true","true","","","recomputed_on_reingestion"
"pre_embedding_quality.simhash_hamming_distance","derived","chunk","json number","integer","false","quality detector","64-bit SimHash Hamming distance","","","true","false","false","false","true","false","false","near-duplicate diagnostics","medium","fuzzy quality not measurable","weak candidate overstated","Candidate signal only; allowed range follows the persisted 64-bit SimHash","metadata.pre_embedding_quality.simhash_hamming_distance","","0","64","","","","","","false","false","true","","","recomputed_on_reingestion"
"pre_embedding_quality.lsh_band_matches","derived","chunk","json number","integer","false","quality detector","matching 8-bit bands","","0","true","false","false","false","true","false","false","candidate diagnostics","medium","candidate selectivity unknown","weak candidate overstated","Derived from 16-hex loose signature; not stored as DB columns","metadata.pre_embedding_quality.lsh_band_matches","","0","8","","","","","","false","false","true","","","recomputed_on_reingestion"
"pre_embedding_quality.lexical_similarity","derived","chunk","json number","number","false","quality detector","lexical verifier score","","","true","false","false","false","true","false","false","near-duplicate verification","high","decision evidence incomplete","false near duplicate","","metadata.pre_embedding_quality.lexical_similarity","","0","1","","","","","","false","true","true","","","recomputed_on_reingestion"
"pre_embedding_quality.containment","derived","chunk","json number","number","false","quality detector","containment score","","","true","false","false","false","true","false","false","near-duplicate verification","high","decision evidence incomplete","false near duplicate","","metadata.pre_embedding_quality.containment","","0","1","","","","","","false","true","true","","","recomputed_on_reingestion"
"pre_embedding_quality.reason_codes","derived","chunk","json array","array[string]","false","quality detector","deterministic reasons","","[]","true","false","false","false","true","false","false","review explanation","high","decision opaque","misleading explanation","","metadata.pre_embedding_quality.reason_codes","","","","","32","","","","false","false","true","","","recomputed_on_reingestion"
"provenance_metadata","provenance","chunk","json object","object","false","parser/chunker","open provenance payload","","{}","false","false","false","false","true","true","false","citation/reconstruction","medium","source trace incomplete","incorrect provenance","Open object; parser-specific keys are not DB constrained","metadata.provenance_metadata","","","","","","","","","false","false","true","","","recomputed_on_reingestion"
"authority_metadata","version","chunk","json object","object","false","source/application","open authority payload","","{}","false","false","false","false","true","true","false","conflict/rerank context","high","authority comparison unavailable","untrusted claim treated authoritative","Must not be inferred from LLM unless explicitly non-authoritative","metadata.authority_metadata","","","","","","document","","","false","true","true","","","recomputed_on_reingestion"
"qdrant_point_id","provenance","chunk","json text nullable","string","false","vector adapter","external point identifier","","","true","false","false","false","false","false","false","legacy/alternate backend reconciliation","low","no impact on active pgvector","wrong cross-store reconciliation","Qdrant is not active in frozen runtime","metadata.qdrant_point_id","","","","200","","","global","","false","false","false","","","recomputed_on_reingestion"
"attempt_number","operational","operational","integer","integer","true","ingestion_jobs database","retry sequence","","1","true","false","false","false","false","false","false","worker claim and diagnostics","medium","retry history unknown","wrong attempt selected","Not exported by baseline exporter","","","1","","","","","","","false","false","false","","","true"
"ingestion_job_status","operational","operational","text","string","true","ingestion_jobs database","authoritative job state","pending|running|succeeded|failed|cancelled","pending","true","false","false","false","false","false","false","worker lifecycle","high","job readiness unknown","partial indexing treated complete","Canonical DB column is status on ingestion_jobs","","","","","32","","","","","false","true","false","","","true"
"embedding_dimensions","operational","operational","integer","integer","true","ingestion job","runtime vector profile","","1536","true","false","false","false","false","false","false","vector compatibility","critical","dimension mismatch hidden","index/query failure","Not exported by default metadata exporter","","","1","","","","","","","false","false","false","","","false"
"job_configuration","operational","operational","jsonb","object","true","ingestion worker","frozen job profile","","{}","false","false","false","false","false","false","false","reproducibility/idempotency","high","run cannot be reproduced","mixed configs unnoticed","Canonical DB column is ingestion_jobs.configuration","","","","","","","","","","false","false","false","","","false"
"lease_expires_at","operational","operational","timestamptz nullable","datetime","false","job repository","server lease timestamp","","","true","false","false","false","false","false","false","worker concurrency","high","stuck job diagnosis weak","concurrent workers process same job","Not exported by default","","","","","64","","","","","false","false","false","","","true"
"started_at","operational","operational","timestamptz nullable","datetime","false","job repository","server timestamp","","","true","false","false","false","false","false","false","latency diagnostics","low","latency unavailable","incorrect performance report","Not exported by default","","","","","64","","","","","false","false","false","","","true"
"completed_at","operational","operational","timestamptz nullable","datetime","false","job repository","server timestamp","","","true","false","false","false","false","false","false","latency diagnostics","low","latency unavailable","incorrect performance report","Not exported by default","","","","","64","","","","","false","false","false","","","true"
"source_chunk_id","identity","chunk","json text","string","true","chunker/worker","deterministic source chunk identity","","","true","false","false","false","true","true","false","chunk persistence; same-batch dedup references","high","same-batch match is not traceable","dedup evidence points to the wrong source chunk","Composite identifier is distinct from persisted chunk_id","metadata.source_chunk_id","","","","500","","","global","","false","false","false","","compare:chunk_identity","recomputed_on_reingestion"
"pre_embedding_quality.target_chunk_index","structural","chunk","json number","integer","false","quality detector","matched target position","","","true","false","false","false","true","false","false","relation/reuse evidence","high","matched position is not traceable","review opens the wrong target position","Zero-based index within the target document or current batch","metadata.pre_embedding_quality.target_chunk_index","","0","","","","","","","false","false","true","","","recomputed_on_reingestion"
"quality_metadata.normalization_version","provenance","document","json text","string","false","fingerprint builder","algorithm profile","knowledge-identity-v1|knowledge-document-identity-v2","","true","false","false","false","false","false","false","identity compatibility and migration","critical","fingerprints cannot be compared safely","hashes from incompatible canonicalization are merged","Document fingerprint profile; chunk fingerprints have their own DB column","quality_metadata.normalization_version","","","","100","","document","","","false","false","false","","","recomputed_on_reingestion"
"quality_metadata.numbers","derived","document","json array","array[string]","false","fingerprint builder","deterministic normalized literals","","[]","true","false","false","false","true","false","false","duplicate/version/conflict evidence","high","numeric differences are harder to detect","false conflict or missed numeric conflict","Evidence only; not an authoritative business value","quality_metadata.numbers","","","","","512","","","","false","true","true","","compare:version_identity","recomputed_on_reingestion"
"quality_metadata.dates","temporal","document","json array","array[string]","false","fingerprint builder","deterministic normalized date mentions","","[]","true","false","false","false","true","false","false","version/conflict evidence","high","date differences are harder to detect","false conflict or missed date conflict","Text mentions only; never substitute for authoritative effective dates","quality_metadata.dates","","","","","128","","","","false","true","true","","compare:version_identity","recomputed_on_reingestion"
"quality_metadata.has_negation","derived","document","json boolean","boolean","false","fingerprint builder","deterministic negation lexicon","true|false","false","true","false","false","false","true","false","false","conflict candidate evidence","medium","negation mismatch signal is unavailable","false or missed contradiction candidate","Coarse document-level signal; human review is required for semantics","quality_metadata.has_negation","","","","","","","","","false","true","true","","compare:version_identity","recomputed_on_reingestion"
"quality_metadata.identity_trusted","identity","document","json boolean","boolean","false","content identity projector","deterministic eligibility guard","true|false","true","true","false","false","false","true","false","false","automatic identity eligibility","critical","automatic merge eligibility is ambiguous","unsafe automatic identity decision","False for OCR, low confidence, missing table structure, replacement characters, or unrepresented visuals","quality_metadata.identity_trusted","","","","","","","","","false","false","true","","","recomputed_on_reingestion"
"quality_metadata.projection_source","provenance","document","json text","string","false","content identity projector","deterministic source composition","","","true","false","false","false","false","false","false","fingerprint audit and parser diagnostics","high","canonical projection cannot be explained","identity evidence is attributed to the wrong parser structure","Plus-separated composition of elements, page_text, or document_text; keep open for parser evolution","quality_metadata.projection_source","","","","200","","","","","false","false","false","","","recomputed_on_reingestion"
"quality_metadata.table_count","structural","document","json number","integer","false","content identity projector","represented canonical table count","","0","true","false","false","false","true","false","false","identity trust diagnostics","high","table representation completeness is unknown","unsafe automatic identity decision","Count of tables represented in the canonical identity sequence","quality_metadata.table_count","","0","","","","","","","false","false","true","","","recomputed_on_reingestion"
"quality_metadata.fallback_used","provenance","document","json boolean","boolean","false","content identity projector","deterministic fallback flag","true|false","false","true","false","false","false","false","false","false","identity trust diagnostics","high","fallback projection is not visible","identity reliability is overstated","True when ordered parser elements were unavailable or tables were appended without proven order","quality_metadata.fallback_used","","","","","","","","","false","false","true","","","recomputed_on_reingestion"
"quality_metadata.unrepresented_visual_count","structural","document","json number","integer","false","content identity projector","deterministic visual omission count","","0","true","false","false","false","false","false","false","automatic identity eligibility","critical","visual omissions are unknown","visually different documents may be auto-identified","Any positive count blocks authoritative automatic identity","quality_metadata.unrepresented_visual_count","","0","","","","","","","false","false","true","","","recomputed_on_reingestion"
"quality_metadata.replacement_character_count","derived","document","json number","integer","false","fingerprint builder","deterministic Unicode replacement count","","0","true","false","false","false","false","false","false","automatic identity eligibility and extraction diagnostics","critical","text corruption signal is unavailable","corrupted extraction may be treated as authoritative identity","Any positive count makes identity_trusted false","quality_metadata.replacement_character_count","","0","","","","","","","false","false","false","","","recomputed_on_reingestion"
